recommendedVideoURL,top20,recommendedAuthor,recommendedTitle,thumbnail,step,amount,equivalent,related,unrelated
https://youtube.com/watch?v=KxtGJsnLgSc,TRUE,Guardian News,’Stay at home!’: Italian mayors send emotional plea to residents — video,https://i.ytimg.com/vi/KxtGJsnLgSc/mqdefault.jpg,English,1,,x,
https://youtube.com/watch?v=LVgzOyHVcj4,TRUE,TEDx Talks,"No Sex Marriage – Masturbation, Loneliness, Cheating and Shame | Maureen McGrath | TEDxStanleyPark",https://i.ytimg.com/vi/LVgzOyHVcj4/mqdefault.jpg,English,1,,,x
https://youtube.com/watch?v=tefAgSl-SWs,TRUE,WatchMojo.com,Top 10 Worst Epidemics in History,https://i.ytimg.com/vi/tefAgSl-SWs/mqdefault.jpg,English,1,,x,
https://youtube.com/watch?v=zdR-I35Ladk,TRUE,60 Minutes Australia,WORLD EXCLUSIVE: Chinese spy spills secrets to expose Communist espionage | 60 Minutes Australia,https://i.ytimg.com/vi/zdR-I35Ladk/mqdefault.jpg,English,1,,,x
https://youtube.com/watch?v=DmYoTPDa-us,TRUE,60 Minutes Australia,Coronavirus global pandemic: a defining moment for the world | 60 Minutes Australia,https://i.ytimg.com/vi/DmYoTPDa-us/mqdefault.jpg,English,1,x,,
https://youtube.com/watch?v=E-M26ZG-njw,FALSE,CBC News,COVID-19 aid package stalls as parties debate details,https://i.ytimg.com/vi/E-M26ZG-njw/mqdefault.jpg,English,1,x,,
https://youtube.com/watch?v=ATV63_zHp04,FALSE,Fox Business,Dr. Oz explains why more men are dying from coronavirus than women,https://i.ytimg.com/vi/ATV63_zHp04/mqdefault.jpg,English,1,x,,
https://youtube.com/watch?v=96Y_3GjOchc,FALSE,DW News,Coronavirus: Boris Johnson puts Britain on lockdown after death toll surges | DW News,https://i.ytimg.com/vi/96Y_3GjOchc/mqdefault.jpg,English,2,x,,
https://youtube.com/watch?v=ZcMwWiqtjQ4,FALSE,PBS NewsHour,"PBS NewsHour West live episode, Mar 24, 2020",https://i.ytimg.com/vi/ZcMwWiqtjQ4/mqdefault.jpg,English,1,x,,
https://youtube.com/watch?v=I_JaYegosxQ,FALSE,Touch Your Heart,A Journey Into the Milky Way Galaxy Documentary - The Most Interesting Galaxy in the Universe,https://i.ytimg.com/vi/I_JaYegosxQ/mqdefault.jpg,English,1,,,x
https://youtube.com/watch?v=s6JrkLvsKtw,TRUE,Dr. John Campbell,"Tuesday 24 March, a vital message",https://i.ytimg.com/vi/s6JrkLvsKtw/mqdefault.jpg,English,1,x,,
https://youtube.com/watch?v=Dnln912LCg0,TRUE,unProfesor,¿Me protege usar MASCARILLA contra el COVID-19? 🦠😷 (Mascarilla VS Coronavirus),https://i.ytimg.com/vi/Dnln912LCg0/mqdefault.jpg,English,1,x,,
https://youtube.com/watch?v=UP8pA0v6QFE,FALSE,BBC Documentary,Afghanistan | Wild Shepherdess with Kate Humble | BBC Documentary,https://i.ytimg.com/vi/UP8pA0v6QFE/mqdefault.jpg,English,1,,,x
https://youtube.com/watch?v=aJpPYcvSRAY,FALSE,London Real,TROOPS IN THE STREETS? What Is The Best Way That We Can Deal With The Coronavirus Pandemic?,https://i.ytimg.com/vi/aJpPYcvSRAY/mqdefault.jpg,English,1,,x,
https://youtube.com/watch?v=HgBiVskxYmk,FALSE,London Real,THE DANGERS OF A 5G WORLD: Why 5G Will Be Bad And How There Will Be No Way To Escape It | David Icke,https://i.ytimg.com/vi/HgBiVskxYmk/mqdefault.jpg,English,2,,,x
https://youtube.com/watch?v=RGkefXaNGgk,FALSE,MSNBC,"U.S. Coronavirus Cases Top 18,000 As States Push Trump To Act | The 11th Hour | MSNBC",https://i.ytimg.com/vi/RGkefXaNGgk/mqdefault.jpg,English,1,x,,
https://youtube.com/watch?v=9K39l24Xtow,FALSE,NBC News,"Watch Full Coronavirus Coverage: U.S. Response, Global Impact | NBC News Now",https://i.ytimg.com/vi/9K39l24Xtow/mqdefault.jpg,English,1,x,,
https://youtube.com/watch?v=_azIozxWVSo,FALSE,PBS NewsHour,WATCH LIVE: White House coronavirus task force holds news briefing,https://i.ytimg.com/vi/_azIozxWVSo/mqdefault.jpg,English,2,x,,
https://youtube.com/watch?v=jsq94YsHGmM,FALSE,Fox News,Live: Senate continues to debate coronavirus relief bill,https://i.ytimg.com/vi/jsq94YsHGmM/mqdefault.jpg,English,1,x,,
https://youtube.com/watch?v=iGhRmWMWJeY,FALSE,BBC,Coronavirus: Boris Johnson tells UK pubs and restaurants to shut in virus fight 🔴 @BBC News - BBC,https://i.ytimg.com/vi/iGhRmWMWJeY/mqdefault.jpg,English,1,x,,
https://youtube.com/watch?v=q3Y2BmGNdwY,FALSE,Yahoo Finance,Breaking down why the coronavirus stimulus bill failed in the Senate,https://i.ytimg.com/vi/q3Y2BmGNdwY/mqdefault.jpg,English,2,x,,
https://youtube.com/watch?v=QjgmLBLETsk,FALSE,Mel Robbins,Day 6: Have trouble sleeping? Me too. Let’s talk about why.,https://i.ytimg.com/vi/QjgmLBLETsk/mqdefault.jpg,English,1,,,x
https://youtube.com/watch?v=c-tpKNxLHTE,FALSE,Zee Business,"Final Trade: Know how the market performed on March 23, 2020",https://i.ytimg.com/vi/c-tpKNxLHTE/mqdefault.jpg,English,1,,x,
https://youtube.com/watch?v=ZO88e8DUEtY,FALSE,CBS News,Trump approves major disaster declarations in N.Y. and Washington state due to coronavirus,https://i.ytimg.com/vi/ZO88e8DUEtY/mqdefault.jpg,English,1,,x,
https://youtube.com/watch?v=0ugg6KoeF6E,FALSE,Dragons’ Den,〃I’m Gonna Sue The Living Daylights Out Of You!〃 | Dragons’ Den,https://i.ytimg.com/vi/0ugg6KoeF6E/mqdefault.jpg,English,1,,,x
https://youtube.com/watch?v=xIWxahsbkXE,FALSE,Dhruv Rathee,Coronavirus Latest Update | Explained by Dhruv Rathee,https://i.ytimg.com/vi/xIWxahsbkXE/mqdefault.jpg,English,1,x,,
https://youtube.com/watch?v=pRnC84GXpyU,FALSE,BBC News Marathi,कोरोना व्हायरस महाराष्ट्र : औषध नाही तर लोक बरे कसे होत आहेत? । सोपी गोष्ट - भाग 35,https://i.ytimg.com/vi/pRnC84GXpyU/mqdefault.jpg,English,1,,,x
https://youtube.com/watch?v=QA5AbqlCHuc,FALSE,KenDBerryMD,Coronavirus chino: qué saber y qué hacer (2019-nCoV),https://i.ytimg.com/vi/QA5AbqlCHuc/mqdefault.jpg,English,1,x,,
https://youtube.com/watch?v=ti5cL0CXkhs,FALSE,BBC News Hindi,Corona Virus से जुड़े 11 सबसे ज़रूरी सवालों के जवाब (BBC Hindi),https://i.ytimg.com/vi/ti5cL0CXkhs/mqdefault.jpg,English,1,x,,
https://youtube.com/watch?v=u1yVCeXYya4,FALSE,Gold Coast Music,Lewis Capaldi - Someone You Loved (Lyrics),https://i.ytimg.com/vi/u1yVCeXYya4/mqdefault.jpg,English,1,,,x
https://youtube.com/watch?v=viimfQi_pUw,FALSE,Billie Eilish,Billie Eilish - Ocean Eyes (Official Music Video),https://i.ytimg.com/vi/viimfQi_pUw/mqdefault.jpg,English,1,,,x
https://youtube.com/watch?v=dGiQaabX3_o,TRUE,Kurzgesagt – In a Nutshell,¿Qué Pasó Antes de la Historia? Origenes Humanos.,https://i.ytimg.com/vi/dGiQaabX3_o/mqdefault.jpg,English,1,,,x
https://youtube.com/watch?v=rMXJOKhf_AA,TRUE,Jay Foreman,Política no comunicada: ¿Cómo funciona la democracia británica?,https://i.ytimg.com/vi/rMXJOKhf_AA/mqdefault.jpg,English,1,,,x
https://youtube.com/watch?v=WyT8i6NYLZM,TRUE,Business Insider,How Waste Is Dealt With On The World’s Largest Cruise Ship,https://i.ytimg.com/vi/WyT8i6NYLZM/mqdefault.jpg,English,1,,,x
https://youtube.com/watch?v=o783-zkcX8Q,FALSE,CNN,Coronavirus expert’s message to young people,https://i.ytimg.com/vi/o783-zkcX8Q/mqdefault.jpg,English,1,x,,
