uxLang,recommendedVideoId,hoursOffset,pseudonym,top20,isAPItoo,step
es,tbAYN9zKIJQ,46,nachos-taco-manicotti,false,true,English
es,dSQztKXR6k0,46,nachos-taco-manicotti,false,false,English
es,DBgdxv9WQ_k,46,nachos-taco-manicotti,false,false,English
es,tmCjJsVCPlI,46,nachos-taco-manicotti,false,false,English
es,tlM8pPotJQQ,46,nachos-taco-manicotti,false,false,English
es,Wak8UQebNDs,46,nachos-taco-manicotti,false,false,English
es,bE68xVXf8Kw,46,nachos-taco-manicotti,false,false,English
es,uOruI8Rs0pg,46,nachos-taco-manicotti,false,false,English
es,YH1dDBKbKUg,46,nachos-taco-manicotti,false,true,English
es,agvHuHugb0k,46,nachos-taco-manicotti,false,false,English
es,qNkjJHliMZo,46,nachos-taco-manicotti,false,true,English
es,7Orjss318Io,46,nachos-taco-manicotti,false,false,English
es,DSuwaZEF9ZY,46,nachos-taco-manicotti,false,false,English
es,-42A0q4QKjg,46,nachos-taco-manicotti,false,false,English
es,en7WdN5_6MI,46,nachos-taco-manicotti,false,false,English
es,25FXVWqg5C4,46,nachos-taco-manicotti,false,false,English
es,SgU99jx6ghc,46,nachos-taco-manicotti,false,false,English
es,6sOUg4Tg6kE,46,nachos-taco-manicotti,false,true,English
es,F8aueQXQ2H4,46,nachos-taco-manicotti,false,false,English
es,G1LoovRQQS4,46,nachos-taco-manicotti,true,true,Porutuguese
es,-PUT0hZiZEw,46,nachos-taco-manicotti,true,true,Porutuguese
es,WC5FdFlUcl0,46,nachos-taco-manicotti,true,false,Porutuguese
es,aKA3MkbKvI0,46,nachos-taco-manicotti,true,true,Porutuguese
es,BtN-goy9VOY,46,nachos-taco-manicotti,true,true,Porutuguese
es,6Af6b_wyiwI,46,nachos-taco-manicotti,true,false,Porutuguese
es,XI6M4a0bEZY,46,nachos-taco-manicotti,true,false,Porutuguese
es,tCMLOV_0P4k,46,nachos-taco-manicotti,true,true,Porutuguese
es,HyHNuVaZJ-k,46,nachos-taco-manicotti,true,false,Porutuguese
es,gkoo5PbwO_E,46,nachos-taco-manicotti,true,true,Porutuguese
es,79OGOlJw-VQ,46,nachos-taco-manicotti,true,true,Porutuguese
es,e8wC_KvbVXo,46,nachos-taco-manicotti,true,true,Porutuguese
es,dpSc-ETSDyc,46,nachos-taco-manicotti,true,true,Porutuguese
es,IxJKQVUgWWA,46,nachos-taco-manicotti,true,false,Porutuguese
